growth_driver_l1,growth_driver_l2,growth_driver_l3,growth_driver_l4,growth_driver_l5,metric,Starting week,investment (in pound),execution
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-01-03,107.43801653000001,537.2169434971748
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-01-10,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-01-17,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-01-24,28484.999998,142432.12159607979
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-01-31,19172.91519,95869.36941847093
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-02-07,22973.392272999998,114872.70500024999
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-02-14,7694.8149707,38475.998653432674
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-02-21,2735.6375683000006,13678.871785089255
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-02-28,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-03-07,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-03-14,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-03-21,85887.07968100002,429456.8712485624
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-03-28,94910.858926,474578.0235311765
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-04-04,40352.727259,201773.72498124905
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-04-11,21304.461516000003,106527.63396169808
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-04-18,19666.018216,98335.0078303915
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-04-25,21496.00232,107485.38586929346
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-05-02,7800.0,39001.95009750487
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-05-09,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-05-16,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-05-23,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-05-30,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-06-06,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-06-13,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-06-20,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-06-27,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-07-04,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-07-11,10310.2616825,51553.88610680534
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-07-18,20184.45,100927.29636481823
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-07-25,917.475,4587.604380219011
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-08-01,2752.425,13762.813140657036
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-08-08,917.475,4587.604380219011
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-08-15,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-08-22,917.475,4587.604380219011
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-08-29,917.475,4587.604380219011
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-09-05,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2022-09-12,917.475,4587.604380219011
