Starting Week,Year,UK L'Oreal Paris Haircare Offline Average Price (in pound),UK L'Oreal Paris Haircare Online Average Price (in pound),UK L'Oreal Paris Haircare Total Weigheted Promotion Distribution (%)
2022-01-03,2022,2.323821607440973,3.2420713854161822,0.37
2022-01-10,2022,2.32864869343949,2.978818550981023,0.42
2022-01-17,2022,2.3782795301725006,3.0140394088669953,0.43
2022-01-24,2022,2.396989008169026,3.077403378537011,0.86
2022-01-31,2022,2.394614752121192,3.3062723157180516,0.78
2022-02-07,2022,2.427983212954124,3.1953584026622295,0.72
2022-02-14,2022,2.426661300166853,3.1302120646681466,0.72
2022-02-21,2022,2.583091262341833,3.2573526183250467,0.48
2022-02-28,2022,2.6515243251970637,3.460363892506845,0.46
2022-03-07,2022,2.5113255802556083,3.332250239387169,0.72
2022-03-14,2022,2.4659418258060253,3.2884528216363225,0.46
2022-03-21,2022,2.4828931705703186,3.2510153038482494,0.61
2022-03-28,2022,2.499988351523077,3.3560469806884408,0.66
2022-04-04,2022,2.4501442026950526,3.105223596884742,0.57
2022-04-11,2022,2.4498790257695227,3.071009966311061,0.81
2022-04-18,2022,2.4349661472013073,2.9919345324281132,0.88
2022-04-25,2022,2.4000005238728876,2.9721639180409793,0.46
2022-05-02,2022,2.4346458320797715,3.146157352143245,0.7
2022-05-09,2022,2.4542172317700035,3.2759949656023557,0.68
2022-05-16,2022,2.498199742820403,3.189283061147443,0.64
2022-05-23,2022,2.5345456164475046,3.3610825874471475,0.59
2022-05-30,2022,2.496711164676683,3.28373028332212,0.44
2022-06-06,2022,2.4813911993738476,3.517942694490646,0.45
2022-06-13,2022,2.506362623390118,3.5382345939016573,0.65
2022-06-20,2022,2.526715474971712,3.441556630259559,0.54
2022-06-27,2022,2.5247240621194775,3.3563290508913455,0.56
2022-07-04,2022,2.485127481750538,3.202277472927694,0.66
2022-07-11,2022,2.4956044731987608,3.435016686606637,0.39
2022-07-18,2022,2.5234767702221315,3.4751951475884413,0.47
2022-07-25,2022,2.5513505932173994,3.3953832765461596,0.76
2022-08-01,2022,2.5232073980769383,3.3622721450389204,0.75
2022-08-08,2022,2.528493244928602,3.4560057887120115,0.78
2022-08-15,2022,2.602501877355306,3.603725085467329,0.69
2022-08-22,2022,2.771886710372671,3.5467367415193505,0.36
2022-08-29,2022,2.894179707485754,3.5756350751110446,0.46
2022-09-05,2022,2.875136700156566,3.6124334362978265,0.85
2022-09-12,2022,2.885620530673692,3.800678428858047,0.79
2022-09-19,2022,2.9053572134285073,3.78479830061046,0.78
2022-09-26,2022,2.8755058903056443,3.7385531485795753,0.59
2022-10-03,2022,2.8742094385370414,3.695725237264536,0.33
2022-10-10,2022,2.889294377860821,3.702435576448146,0.26
2022-10-17,2022,2.8356588171949504,3.5580004362196536,0.89
2022-10-24,2022,2.804895727170486,3.46652237858074,0.64
2022-10-31,2022,2.8248069972373577,3.500497653704755,0.78
2022-11-07,2022,2.761213455068988,3.6269783503785367,0.94
2022-11-14,2022,2.693619117142631,3.387286774731101,0.58
2022-11-21,2022,2.709356683121339,3.5067296247367663,0.58
2022-11-28,2022,2.734523788223085,3.3892975559255167,0.85
2022-12-05,2022,2.7121195236290965,3.4206382621695424,0.81
2022-12-12,2022,2.784002816578512,3.4338418246445497,0.71
2022-12-19,2022,2.7828964305302155,3.263526442616172,0.8
2022-12-26,2022,2.9549547910978133,3.3128626394767218,0.83
2023-01-02,2023,2.978990313729114,3.570229571687008,0.38
2023-01-09,2023,3.062178454932078,3.585756484941746,0.37
2023-01-16,2023,3.1141942790052766,3.5876007677543185,0.4
2023-01-23,2023,2.9751390027336195,3.706569908447932,0.85
2023-01-30,2023,3.0587521982505947,3.634773513213508,0.82
2023-02-06,2023,3.0146855279047093,3.677928366571067,0.68
2023-02-13,2023,3.031172284636604,3.8651197624811093,0.68
2023-02-20,2023,3.156885378903803,3.85621878572718,0.54
2023-02-27,2023,3.2190471126842133,3.851059286248583,0.49
2023-03-06,2023,3.2467410274480577,3.9249503880884444,0.72
2023-03-13,2023,3.202492156847012,3.9084304431519468,0.4
2023-03-20,2023,3.1047675085728876,4.084517717632515,0.57
2023-03-27,2023,3.0490503641756184,4.236670273612614,0.68
2023-04-03,2023,3.074765868168952,4.0311563406158,0.59
2023-04-10,2023,2.9885065008055753,3.768960112157176,0.74
2023-04-17,2023,3.0487661875434573,3.8330547756778652,0.81
2023-04-24,2023,3.143014396578159,3.8586600217597304,0.42
2023-05-01,2023,3.1219227539327252,3.8988530006410573,0.68
2023-05-08,2023,3.057623299521909,3.9971955156424253,0.71
2023-05-15,2023,3.03976827902412,3.971134952296113,0.67
2023-05-22,2023,3.023253061008145,3.969767180995588,0.55
2023-05-29,2023,3.1296514990424273,3.9246881299314635,0.41
2023-06-05,2023,3.1770759188053295,3.7433490576291817,0.49
2023-06-12,2023,3.203417136329838,3.779934762950523,0.71
2023-06-19,2023,3.209750116566218,3.8373695369513525,0.62
2023-06-26,2023,3.252270411051976,3.9714231556600197,0.53
2023-07-03,2023,3.1457519300677586,3.91332714596661,0.72
2023-07-10,2023,3.1228083507294446,4.068913805446313,0.46
2023-07-17,2023,3.076857216632616,3.759345452195826,0.49
2023-07-24,2023,3.020976729427325,3.7075311477011774,0.74
2023-07-31,2023,2.9606917125039756,3.7057354088717265,0.74
2023-08-07,2023,2.983431952662722,3.636069242185326,0.76
2023-08-14,2023,3.019511060780538,3.7192492396350247,0.64
2023-08-21,2023,3.1260681132129036,3.8694416428701626,0.41
2023-08-28,2023,3.1680489932337434,3.8434514657166075,0.48
2023-09-04,2023,3.164195107828417,3.8055567790777705,0.8
2023-09-11,2023,3.096483906915154,3.719785993618195,0.75
2023-09-18,2023,3.1119509938005194,3.615238140406208,0.75
2023-09-25,2023,3.168874635287309,3.761770017394387,0.61
2023-10-02,2023,3.2567407813561364,3.9593694080595516,0.3
