Starting Week,Year,UK L'Oreal Paris Haircare Total Offline Sellout Value (in pound),UK L'Oreal Paris Haircare Total Offline Sellout Units,UK L'Oreal Paris Haircare Total Online Sellout Value (in pound),UK L'Oreal Paris Haircare Total Online Sellout Units
2022-01-03,2022,1583364.9000000001,681362.5,362750.18,111888.40000000001
2022-01-10,2022,1753588.2,753049.7000000001,385263.71,129334.40000000001
2022-01-17,2022,1690696.8,710890.7000000001,359523.06000000006,119282.8
2022-01-24,2022,1748572.8,729487.2000000001,357843.85000000003,116281.1
2022-01-31,2022,1768055.9000000001,738346.7000000001,386416.94,116873.90000000001
2022-02-07,2022,1752389.6,721747.0,312066.69,97662.5
2022-02-14,2022,1669474.3,687971.7000000001,298770.29,95447.3
2022-02-21,2022,1773309.2,686506.6,327903.03,100665.5
2022-02-28,2022,1793337.0,676341.9,338474.11000000004,97814.6
2022-03-07,2022,1798604.6,716197.3,339298.05,101822.5
2022-03-14,2022,1795010.1,727920.7000000001,339528.15,103248.6
2022-03-21,2022,1892675.2,762286.2000000001,341334.5,104993.2
2022-03-28,2022,2092538.5,837019.3,391518.79,116660.7
2022-04-04,2022,2143666.2,874914.3,371639.06000000006,119681.90000000001
2022-04-11,2022,2216701.5,904820.8,341294.85000000003,111134.40000000001
2022-04-18,2022,2169350.3000000003,890916.0,362646.7,121208.1
2022-04-25,2022,2382257.8000000003,992607.2000000001,402037.48,135267.6
2022-05-02,2022,2051429.9000000001,842598.9,376893.92000000004,119795.0
2022-05-09,2022,1952048.8,795385.5,348526.88,106388.1
2022-05-16,2022,1894197.5,758225.0,340446.08,106746.90000000001
2022-05-23,2022,1924118.3,759157.1,318285.11000000004,94697.2
2022-05-30,2022,1906674.9000000001,763674.6,285521.99,86950.5
2022-06-06,2022,1945317.4000000001,783962.4,266711.77,75814.7
2022-06-13,2022,1906531.9000000001,760676.8,251166.88999999998,70986.5
2022-06-20,2022,1950761.8,772054.4,247006.37,71771.7
2022-06-27,2022,2342323.1,927754.1,262867.02,78319.8
2022-07-04,2022,2290299.7,921602.5,257183.55000000002,80312.7
2022-07-11,2022,2205407.1,883716.6,283667.8,82581.2
2022-07-18,2022,2231353.8000000003,884237.9,262178.8,75442.90000000001
2022-07-25,2022,2199271.1,862002.7000000001,299255.83999999997,88136.1
2022-08-01,2022,2096307.2000000002,830810.5,266164.86000000004,79162.2
