Starting Week,execution,offline_average_price,weighted_promotion_distribution,offline_sellout_value,offline_units,search_impression,search_spend,retail_media_impression,retail_media_spend,video_impression,video_spend,social_impression,social_spend,display_impression,display_spend,other_impression,other_spend,is_holiday,geo
2022-01-03,537.2169434971748,2.323821607440973,0.37,1583364.9,681362.5,1472980.5999999999,4619.99567172,193246.3,613.431,0.0,0.0,2797665.316943497,3348.13066653,156076.7,3053.20964,330.57142859,5303.0665259,1,Geo0
2022-01-10,0.0,2.32864869343949,0.42,1753588.2,753049.7000000001,2478214.7,7120.4375814,343567.9,1065.064,0.0,0.0,3768963.9,4242.45952,161675.80000000002,3387.9688765,261.15142859,4418.4028382,0,Geo0
2022-01-17,0.0,2.3782795301725006,0.43,1690696.8,710890.7000000001,2695483.7,7024.52942581,448357.0,1354.821,0.0,0.0,4650961.9,6156.7850499999995,408499.0,3045.8495652,340.48857141,6301.7528938,0,Geo0
2022-01-24,142432.1215960798,2.396989008169026,0.86,1748572.8,729487.2000000001,1944694.7,5305.02826893,626307.5,2428.517,815160.71,185833.2130096,13156980.421596078,49889.891557999996,684980.4,2990.3114826,421.90831423,9379.8628001,0,Geo0
2022-01-31,95869.36941847092,2.394614752121192,0.78,1768055.9,738346.7000000001,2351456.9000000004,6059.000463581001,619993.4,2262.923,679352.31,305787.3292266,17089083.26941847,48928.922133,1074118.5,2979.3004787000004,513.41048577,16387.14272,0,Geo0
2022-02-07,114872.70500025,2.427983212954124,0.72,1752389.6,721747.0,2475252.0,5451.327336650001,515611.2,1984.996,1086888.79,270225.5857314,15668405.50500025,51424.116653,209513.2,3157.00814,351.9594,11027.429478,0,Geo0
2022-02-14,38475.998653432674,2.426661300166853,0.72,1669474.3,687971.7000000001,2376289.5,5495.74572781,6170598.2,22110.335000000003,1540959.29,191415.63049570002,17531662.098653432,40368.9589407,166862.80000000002,3385.6378387000004,282.5394,9379.49818,0,Geo0
2022-02-21,13678.871785089255,2.583091262341833,0.48,1773309.2,686506.6,3486861.3,8431.74090603,10469629.3,41990.273,4285446.1,21373.434252299998,13674844.571785089,31758.0074383,140311.6,3532.4342482,387.56194282,10925.995288,0,Geo0
2022-02-28,0.0,2.651524325197064,0.46,1793337.0,676341.9,3225489.8,7999.487656914,2835346.8000000003,13153.270000000002,3112557.5,17126.4687893,3723807.1,9195.4913687,741742.3,4065.4639935,385.08265718,5670.489396000001,0,Geo0
2022-03-07,0.0,2.5113255802556083,0.72,1798604.6,716197.3,3322208.5,9527.097351330001,265714.8,1129.882,2837936.4000000004,16461.6595494,194868.7,185.13027,1359577.7,3281.1739948,375.95888577000005,11640.7769959,0,Geo0
