,Starting Week,UK L'Oreal Paris Haircare Total Offline Sellout Units,UK L'Oreal Paris Haircare Total Offline Sellout Value (in pound),UK L'Oreal Paris Haircare Offline Average Price (in pound),UK L'Oreal Paris Haircare Total Weigheted Promotion Distribution (%),Holiday,consumer_engagement_advocacy_media_influencer_management,consumer_engagement_paid_media_digital_tv,consumer_engagement_paid_media_online_multiformat_ads_transaction,consumer_engagement_paid_media_online_video_content_platforms,consumer_engagement_paid_media_paid_search_awarenessconsideration,consumer_engagement_paid_media_paid_search_transaction,consumer_engagement_paid_media_social_media_awarenessconsideration,consumer_engagement_paid_media_social_media_transaction,consumer_engagement_paid_media_traditional_tv,shopper_experience_shopper_experience_testers_and_merchandising
0,2022-01-03,681362.5,1583364.9,2.323821607440973,0.37,1,537.2169434971748,0.0,193246.3,0.0,4067.7,1624989.5999999999,1289454.4,1507673.7,0.0,330.57142859
1,2022-01-10,753049.7000000001,1753588.2,2.32864869343949,0.42,0,0.0,0.0,343567.9,0.0,3716.7,2636173.8,2106572.0,1662391.9,0.0,261.15142859
2,2022-01-17,710890.7000000001,1690696.8,2.3782795301725006,0.43,0,0.0,0.0,448357.0,0.0,4264.0,3099718.7,2869640.8000000003,1781321.1,0.0,340.48857141
3,2022-01-24,729487.2000000001,1748572.8,2.396989008169026,0.86,0,142432.1215960798,815102.08,626307.5,0.0,4633.2,2625041.9,11263612.1,1750936.2,58.63,421.90831423
4,2022-01-31,738346.7000000001,1768055.9,2.394614752121192,0.78,0,95869.36941847092,679251.8200000001,619993.4,0.0,2134.6,3423440.8000000003,15033348.2,1959865.7,100.49,513.41048577
5,2022-02-07,721747.0,1752389.6,2.427983212954124,0.72,0,114872.70500025,1086802.86,515611.2,0.0,1472.9,2683292.3000000003,13953063.8,1600469.0,85.92999999999999,351.9594
6,2022-02-14,687971.7000000001,1669474.3,2.426661300166853,0.72,0,38475.998653432674,407551.04,6170598.2,1133346.5,1618.5,2541533.8,16139238.7,1353947.4,61.75,282.5394
7,2022-02-21,686506.6,1773309.2,2.583091262341833,0.48,0,13678.871785089255,0.0,10469629.3,4285446.1,2389.4,3624783.5,12280013.2,1381152.5,0.0,387.56194282
8,2022-02-28,676341.9,1793337.0,2.651524325197064,0.46,0,0.0,0.0,2835346.8000000003,3112557.5,3247.4,3963984.7,2750133.1,973674.0,0.0,385.08265718
9,2022-03-07,716197.3,1798604.6,2.5113255802556083,0.72,0,0.0,0.0,265714.8,2837936.4000000004,18077.8,4663708.4,0.0,194868.7,0.0,375.95888577000005
10,2022-03-14,727920.7000000001,1795010.1,2.4659418258060253,0.46,0,0.0,0.0,885670.5,4495992.8,42395.6,3822265.1999999997,0.0,3183453.0,0.0,725.04231423
11,2022-03-21,762286.2000000001,1892675.2,2.4828931705703186,0.61,0,429456.8712485624,1144673.27,717181.4,5661693.7,32119.1,3554453.5,10539153.3,3891803.5,84.63,673.47317141
12,2022-03-28,837019.3,2092538.5,2.499988351523077,0.66,0,474578.0235311765,699522.5900000001,2459623.4,4748069.3,20231.9,3352687.0,44745837.5,4167512.7,112.32,756.34742859
13,2022-04-04,874914.3,2143666.2,2.4501442026950526,0.57,0,201773.72498124905,1017487.38,4655781.0,5273763.300000001,19043.7,3512805.4,30388317.700000003,4053039.9,93.47,592.384
14,2022-04-11,904820.8,2216701.5,2.4498790257695227,0.81,1,106527.63396169808,826708.48,3121649.7,4086756.7,23184.2,2867371.0,20093606.0,4682623.4,92.04,286.93600000000004
15,2022-04-18,890916.0,2169350.3000000003,2.434966147201308,0.88,0,98335.0078303915,254371.78000000003,2114658.0,989804.4,23827.7,2511873.0,7173598.9,4810087.100000001,53.82,375.49608577
16,2022-04-25,992607.2,2382257.8000000003,2.400000523872888,0.46,0,107485.38586929346,0.0,1978328.3,1020065.8,24629.8,2025765.3,2751190.0,2551008.2,0.0,324.72031423000004
17,2022-05-02,842598.9,2051429.9,2.4346458320797715,0.7,1,39001.95009750487,0.0,3258330.4,27.3,1573.0,3514925.7,1538720.625,1662362.0,0.0,206.6402
18,2022-05-09,795385.5,1952048.8,2.4542172317700035,0.68,0,0.0,0.0,3821374.7,0.0,1812.2,3019824.6,1408290.975,1392337.7,0.0,206.6402
19,2022-05-16,758225.0,1894197.5,2.498199742820403,0.64,0,0.0,0.0,3512453.1,0.0,1829.1,2731439.1,1429359.75,1113002.8,0.0,350.14125718
20,2022-05-23,759157.1,1924118.3,2.5345456164475046,0.59,0,0.0,0.0,3000653.5,0.0,1505.4,3109338.7,1267779.175,1024367.5,0.0,526.17054282
21,2022-05-30,763674.6,1906674.9,2.496711164676683,0.44,1,0.0,0.0,1900609.1,0.0,1465.1,2522941.2,1846657.15,1247794.6,53.17,334.8358
22,2022-06-06,783962.4,1945317.4,2.481391199373848,0.45,0,0.0,0.0,1844650.6,0.0,1896.7,4116983.0,3376792.25,1046208.8,54.47,334.8358
23,2022-06-13,760676.8,1906531.9,2.506362623390118,0.65,0,0.0,0.0,1797564.6,0.0,1862.9,3748934.8,2950253.8000000003,857221.3,55.64,378.17371423
24,2022-06-20,772054.4,1950761.8,2.526715474971712,0.54,0,0.0,0.0,4768362.3,0.0,1781.0,2820742.6,2437630.325,631694.7000000001,56.94,158.90568577
25,2022-06-27,927754.1,2342323.1,2.524724062119477,0.56,0,0.0,517891.53,5653359.4,0.0,1878.5,1850846.4,10182512.600000001,341196.7,59.02,170.54180000000002
26,2022-07-04,921602.5,2290299.7,2.485127481750538,0.66,0,0.0,1139361.34,4088164.6,436828.6,1826.5,4099488.9000000004,16442852.4,347565.4,71.89,355.6618
27,2022-07-11,883716.6,2205407.1,2.4956044731987608,0.39,0,51553.88610680534,1864409.3,3959138.3,2531545.9,1771.9,7907556.800000001,9719543.600000001,2318001.4,82.68,338.86877141
