,feature,VIF
21,uk_loreal_paris_haircare_offline_average_price_in_pound,30.108953390114397
22,uk_loreal_paris_haircare_total_weigheted_promotion_distribution_%,18.02114797142591
7,consumer_engagement_paid_media_paid_search_transaction_amazon,11.115078935756955
16,consumer_engagement_paid_media_social_media_transaction_the_hut_group,8.661226017205326
6,consumer_engagement_paid_media_paid_search_awarenessconsideration_google,7.895786366619243
10,consumer_engagement_paid_media_social_media_awarenessconsideration_meta,5.766637989415526
18,consumer_engagement_paid_media_traditional_tv_linear,5.562380771339738
14,consumer_engagement_paid_media_social_media_transaction_meta_collab_ads,5.401420236430275
1,consumer_engagement_paid_media_digital_tv_bvod,4.604715160689422
2,consumer_engagement_paid_media_online_multiformat_ads_transaction_amazon_retail,4.324711347472313
5,consumer_engagement_paid_media_online_video_content_platforms_youtube,3.47812431840968
3,consumer_engagement_paid_media_online_multiformat_ads_transaction_tesco,3.4087795731689483
11,consumer_engagement_paid_media_social_media_awarenessconsideration_pinterest,2.8443391889651193
9,consumer_engagement_paid_media_paid_search_transaction_criteo,2.6806361515408126
0,consumer_engagement_advocacy_media_influencer_management_influencer_management,2.5054203210131334
15,consumer_engagement_paid_media_social_media_transaction_tesco,2.481113821774349
17,consumer_engagement_paid_media_social_media_transaction_tik_tok,2.3609323102858784
4,consumer_engagement_paid_media_online_video_content_platforms_google_video,2.3058454977548006
8,consumer_engagement_paid_media_paid_search_transaction_citrus,2.2800483288356337
12,consumer_engagement_paid_media_social_media_awarenessconsideration_tik_tok,1.9347167289439573
19,shopper_experience_shopper_experience_testers_and_merchandising_testers_and_merchandising,1.8866460827930298
13,consumer_engagement_paid_media_social_media_transaction_meta,1.8150621486685772
20,holiday,1.4441277755842017
